#INTERVAL_START,INTERVAL_END,ANIMAL,BICYCLE,BUS,CAR,CAR_TRAILER,CARAVAN,E_CART,HEAD,HEAVY,LIGHT,MOTORCYCLE,OBSTACLE,PEDESTRIAN,PRAM,SCOOTER,SKATE,TRACTOR,TRAM,TRUCK_TRAILER,TUK_TUK,UNKNOWN,VAN,WHEELCHAIR
2024-11-02T13:00:00+01:00,2024-11-02T13:05:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:05:42.8+01:00,2024-11-02T13:10:00+01:00,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:10:00+01:00,2024-11-02T13:15:00+01:00,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:15:00+01:00,2024-11-02T13:20:00+01:00,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:20:00+01:00,2024-11-02T13:25:00+01:00,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:25:00+01:00,2024-11-02T13:30:00+01:00,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:30:00+01:00,2024-11-02T13:35:00+01:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T13:35:00+01:00,2024-11-02T13:40:00+01:00,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:40:00+01:00,2024-11-02T13:45:00+01:00,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T13:45:00+01:00,2024-11-02T13:50:00+01:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T13:50:00+01:00,2024-11-02T13:55:00+01:00,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T13:55:00+01:00,2024-11-02T14:00:00+01:00,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024-11-02T14:00:00+01:00,2024-11-02T14:05:00+01:00,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T14:05:00+01:00,2024-11-02T14:10:00+01:00,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T14:10:00+01:00,2024-11-02T14:15:00+01:00,0,0,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T14:15:00+01:00,2024-11-02T14:20:00+01:00,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-11-02T14:20:00+01:00,2024-11-02T14:25:00+01:00,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-02T14:25:00+01:00,2024-11-02T14:30:00+01:00,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T14:30:00+01:00,2024-11-02T14:35:00+01:00,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-11-02T14:35:00+01:00,2024-11-02T14:40:00+01:00,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-11-02T14:40:00+01:00,2024-11-02T14:45:00+01:00,0,0,1,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2024-11-02T14:45:00+01:00,2024-11-02T14:50:00+01:00,0,0,1,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-11-02T14:50:00+01:00,2024-11-02T14:55:00+01:00,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
